Sample,Depth,ROV,Phosphate,Ammonium,Sulfide,Sulphate,Methane,DIC,¦Ä15N,¦Ä13C,%ON,%OC,DOM_t,DOM_a,DOM_m,DOM_c,DOM_b,DOM_SR,DOM_BIX,DOM_FI,DOM_HIX,DNA_18S_Whole_Richness,RNA_18S_Whole_Richness,DNA_Breviatea_Richness,RNA_Breviatea_Richness,DNA_Laby_Richness,RNA_Laby_Richness,DNA_Apicomplexa_Richness,RNA_Apicomplexa_Richness,DNA_16s_Whole_Richness,RNA_16s_Whole_Richness,DNA_ANME1_Richness,RNA_ANME1_Richness,DNA_Methano_Richness,RNA_Methano_Richness,DNA_Gamma_Richness,RNA_Gamma_Richness
D515ROV1LPC_0,0,ROV1,0.474666667,26.16666667,18.8675,1972.5,24159.31667,9.91,1.2,-33.3,0.19,1.27,1.145982293,1.861584921,0.972969797,0.833761413,1.053893554,2.545894858,1.133651125,1.430690426,0.669430012,87,282,1,19,0,8,8,4,803,657,5,4,3,9,143,131
D522ROV1PC202_0,0,ROV1,0.474666667,26.16666667,18.8675,1972.5,24159.31667,9.91,3.8,-23.2,0.15,1.06,1.113555389,1.765395984,1.206929987,0.797524304,1.298494328,1.958510237,1.274111852,1.432737664,0.629093755,149,374,1,14,6,14,16,4,2593,1936,1,6,0,6,326,354
D522ROV1PC202_5,5,ROV1,0.395,26.5,85.11,760.6,34583.36,20.11,3.7,-22.8,0.16,1.09,0.817366061,1.690811417,0.998189962,0.783763278,0.90173037,2.179073442,1.058708272,1.315978226,0.667681176,209,NA,3,NA,6,NA,18,NA,2255,1594,1,6,2,13,283,313
D522ROV1PC202_10,10,ROV1,0.415,26.68333333,152.244,387.25,76078.73333,23.65,4.1,-23.2,0.14,0.94,0.51461337,1.514934708,0.868427716,0.732568639,0.566928004,1.822087668,0.972589025,1.297513748,0.723451064,167,NA,5,NA,4,NA,12,NA,2333,1545,1,7,5,11,242,229
D522ROV1PC201_0,0,ROV1,0.474666667,26.16666667,18.8675,1972.5,24159.31667,9.91,3.9,-22.8,0.15,1.11,0.525693258,1.389683364,0.848472342,0.63172321,0.672814429,2.160987461,1.00861727,1.340937235,0.680571054,263,268,3,20,13,17,17,7,1942,1459,2,3,1,9,274,296
D522ROV1PC201_5,5,ROV1,0.395,26.5,85.11,760.6,34583.36,20.11,4.2,-22.6,0.15,1.01,0.616709477,1.821904338,1.02671262,0.837978241,0.786047868,2.19103712,0.960540384,1.167172934,0.705267223,289,NA,2,NA,11,NA,8,NA,2121,1837,5,3,5,11,245,233
D522ROV1PC201_10,10,ROV1,0.415,26.68333333,152.244,387.25,76078.73333,23.65,4.4,-22.3,0.14,0.92,0.648607876,1.674415853,0.971328798,0.781247894,0.772686916,1.890779564,0.956432744,1.29110215,0.686724472,261,135,4,4,2,3,18,4,1702,1555,1,5,0,9,282,221
D515ROV1LPC_5,5,ROV1,0.395,26.5,85.11,760.6,34583.36,20.11,0.5,-31.5,0.14,1.03,1.336006468,2.03821293,1.250974624,0.866008574,1.361994876,1.838983208,1.248677462,1.392573276,0.648160526,76,193,5,15,0,0,2,0,958,711,4,6,4,15,152,136
D522ROV1PC204_0,0,ROV1,0.474666667,26.16666667,18.8675,1972.5,24159.31667,9.91,3.7,-26.4,0.13,1.74,0.472134578,1.609243383,0.895767308,0.74503018,0.449244677,1.926506569,0.956101284,1.250620931,0.771031057,277,209,6,17,2,2,12,7,1524,1437,7,3,9,10,198,274
D522ROV1PC204_5,5,ROV1,0.395,26.5,85.11,760.6,34583.36,20.11,3,-26,0.13,0.85,0.581370121,1.149175296,0.758572623,0.531252784,0.708770463,2.657678781,1.154591127,1.334740139,0.631745257,59,290,1,13,0,5,6,7,1287,1187,7,6,14,8,169,258
